ABCB10	ABCB7
ABCD1	ABCD2
ABCD1	ABCD3
ABCD2	ABCD3
ABCG1	ABCG4
ABI3	ABI3BP
ABI1	ABL1
ABI2	ABL1
ABI2	ABL2
ABL1	ABL2
ABL1	ABR
ABL1	AC103686.1
ACACA	ACACB
ABCB8	ACCN1
ACCN1	ACCN2
ABCF3	ACIN1
ACSL1	ACSL3
ACSL3	ACSL4
ACSS1	ACSS2
ACSS1	ACSS3
ACSS2	ACSS3
ABL1	ACTA1
ABRA	ACTB
ABLIM3	ACTC1
ABRA	ACTC1
ACTB	ACTC1
ABLIM1	ACTG1
ACTB	ACTG1
ACTC1	ACTN4
ACTA1	ACTR1B
ACTB	ACTR1B
ACTC1	ACTR2
ACTR2	ACTR3
ACTL6A	ACTR6
ACTR5	ACTR8
AC104304.1	ACVR1B
ACVR1	ACVR1B
AC104304.1	ACVR1C
ACVR1	ACVR2A
ACVR1B	ACVR2A
ACVR1B	ACVR2B
ACVR2A	ACVRL1
ACTN2	ADAM12
A2M	ADAM19
ABI2	ADAM19
A2M	ADAMTS1
ACAN	ADAMTS1
ACAN	ADAMTS4
ACAN	ADAMTS5
ADAT2	ADAT3
ADCY2	ADCY5
ADCYAP1	ADCYAP1R1
ADD1	ADD2
ADIPOQ	ADIPOR2
ADA	ADK
ADA	ADORA1
ADA	ADORA2B
ABR	ADRA1A
ADRA1A	ADRA1B
ADRA1A	ADRA1D
ADRB2	ADRB3
ADRB2	ADRBK1
ADK	ADSL
ADK	ADSS
ADK	ADSSL1
ACTA1	AFAP1
ACTC1	AFAP1
ACE2	AGT
ADRBK1	AGTR1
AGT	AGTR1
ACE	AGTR2
AGT	AGTR2
AGTR1	AGTRAP
AGTR2	AGTRAP
AHR	AIP
AC103686.1	AIRE
AK1	AK2
ADRB2	AKAP12
AKAP3	AKAP4
ADRB2	AKAP5
ACACA	AKR1B10
AKR7A2	AKR7A3
AC103686.1	AKT1
AHNAK	AKT1
AHSG	AKT1
AKT1	AKT1S1
AKT1	AKT2
AKT1S1	AKT2
AKT1	AKTIP
AHSG	ALB
AL671532.1	ALB
ABAT	ALDH5A1
ALG13	ALG14
ALG6	ALG8
ALOX5	ALOX5AP
A2M	AMBP
ALB	AMBP
ADC	AMD1
AHSG	AMELX
AMH	AMHR2
AMIGO1	AMIGO2
AMIGO1	AMIGO3
AMIGO2	AMIGO3
AMOT	AMOTL1
ANAPC10	ANAPC11
ANAPC1	ANAPC2
ANAPC11	ANAPC2
ANAPC1	ANAPC4
ANAPC10	ANAPC4
ANAPC2	ANAPC4
ANAPC1	ANAPC5
ANAPC4	ANAPC5
ANAPC1	ANAPC7
ANAPC4	ANAPC7
AC104304.1	ANG
ACTC1	ANG
ACTN2	ANG
ADAP1	ANP32A
ACTB	ANXA1
AHRR	ANXA11
ACTB	ANXA2
ACTG1	ANXA5
ACTB	ANXA6
AHRR	ANXA7
ABCA1	AOX1
AAGAB	AP1G1
AFTPH	AP1G1
AP1AR	AP1G1
AP1B1	AP1G1
AAGAB	AP1G2
AFTPH	AP1G2
AP1B1	AP1G2
AP1B1	AP1M1
AP1G1	AP1M1
AP1G2	AP1M1
AP1B1	AP1M2
AP1G1	AP1M2
AP1G2	AP1M2
AP1M1	AP1M2
AP1B1	AP1S1
AP1G1	AP1S1
AP1G2	AP1S1
AP1M2	AP1S1
AP1B1	AP1S2
AP1G1	AP1S2
AP1G2	AP1S2
AP1S1	AP1S2
AMPH	AP2A1
ACVR1	AP2B1
AP1B1	AP2B1
AP1G1	AP2B1
AP1G2	AP2B1
AP1M1	AP2B1
AP1M2	AP2B1
AP1S1	AP2B1
AP1S2	AP2B1
AP2A2	AP2B1
ADRA1B	AP2M1
AP1B1	AP2M1
AP1M1	AP2M1
AP2A1	AP2M1
