AKL1	AAK1
PAA1	AANAT
ALA1	AARS
YNL040W	AARSD1
BFR2	AATF
UGA1	ABAT
YOL075C	ABCA1
SNQ2	ABCA10
YOL075C	ABCA12
YOL075C	ABCA13
YOL075C	ABCA2
PDR5	ABCA3
PDR10	ABCA5
PDR11	ABCA6
AUS1	ABCA6
PDR12	ABCA6
YOL075C	ABCA7
YNR070W	ABCA8
PDR15	ABCA9
STE6	ABCB1
MDL1	ABCB10
STE6	ABCB11
STE6	ABCB4
STE6	ABCB5
ATM1	ABCB7
YCF1	ABCC1
YCF1	ABCC2
YCF1	ABCC3
YCF1	ABCC6
PXA1	ABCD1
PXA1	ABCD2
PXA1	ABCD3
RLI1	ABCE1
ARB1	ABCF2
GCN20	ABCF3
ADP1	ABCG2
YMR210W	ABHD1
YGR031W	ABHD11
YNL320W	ABHD13
EHT1	ABHD3
EEB1	ABHD3
ICT1	ABHD4
ECM18	ABHD5
YNR064C	ABHD6
BEM3	ABR
ESF2	ABT1
YIL001W	ABTB1
POT1	ACAA1
HFA1	ACACA
ACC1	ACACB
ABP1	ACAP2
ABP1	ACAP3
ERG10	ACAT1
ACB1	ACBD7
ACN9	ACN9
ACO1	ACO2
TES1	ACOT8
POX1	ACOX1
POX1	ACOX2
LTP1	ACP1
PCS60	ACSF3
FAA2	ACSL1
FAA3	ACSL3
FAA1	ACSL3
FAA4	ACSL4
FAA2	ACSL5
FAA2	ACSL6
ACS1	ACSS1
ACS2	ACSS2
ACT1	ACTA1
ACT1	ACTA2
ACT1	ACTB
ACT1	ACTC1
ACT1	ACTG1
ACT1	ACTG2
ARP2	ACTR2
ARP3	ACTR3
ARP3	ACTR3B
ARP6	ACTR6
ARP8	ACTR8
AAH1	ADA
TAD1	ADARB1
TAD1	ADAT1
TAD2	ADAT2
TAD3	ADAT3
SPE1	ADC
YLR253W	ADCK1
ABC1	ADCK4
YLR253W	ADCK5
SFA1	ADH5
ADH4	ADHFE1
ADI1	ADI1
IZH1	ADIPOR1
IZH2	ADIPOR2
ADO1	ADK
ADE13	ADSL
ADE12	ADSS
ADE12	ADSSL1
REX4	AEN
AFG3	AFG3L2
YTA12	AFG3L2
GDB1	AGL
SLC1	AGPAT2
YDR018C	AGPAT3
CST26	AGPAT4
AGX1	AGXT
SAH1	AHCY
AHA1	AHSA1
AHA1	AHSA2
AIF1	AIFM2
TRR1	AIFM3
TRR2	AIFM3
ADK1	AK2
ADK2	AK3
ADK2	AK3L2
GCY1	AKR1A1
YPR1	AKR1B1
YPR1	AKR1B10
YPR1	AKR1C1
YPR1	AKR1C2
YPR1	AKR1C3
YPR1	AKR1C4
YPR1	AKR1CL2
YPR1	AKR1D1
AAD3	AKR7A2
AAD10	AKR7A2
AAD14	AKR7A3
HEM2	ALAD
HEM1	ALAS1
HEM1	ALAS2
PRO2	ALDH18A1
ALD6	ALDH1A1
ALD6	ALDH1A2
ALD6	ALDH1A3
ALD4	ALDH1B1
ALD5	ALDH2
HFD1	ALDH3A1
HFD1	ALDH3A2
HFD1	ALDH3B1
PUT2	ALDH4A1
UGA2	ALDH5A1
ALG1	ALG1
DIE2	ALG10
ALG12	ALG12
ALG14	ALG14
ALG3	ALG3
ALG5	ALG5
ALG6	ALG6
ALG8	ALG8
DAL2	ALLC
PHO8	ALPI
PHO8	ALPL
PHO8	ALPP
PHO8	ALPPL2
SPE2	AMD1
AMD1	AMPD1
AMD1	AMPD3
RVS167	AMPH
GCV1	AMT
